timestamp: 1680050603, power_value: 82, pv_value: 1180 
timestamp: 1680089575, power_value: 87, pv_value: 1197 
timestamp: 1680089580, power_value: 89, pv_value: 1200 
timestamp: 1680089586, power_value: 88, pv_value: 1200 
timestamp: 1680089591, power_value: 90, pv_value: 1198 
timestamp: 1680089596, power_value: 87, pv_value: 1200 
timestamp: 1680089601, power_value: 87, pv_value: 1197 
timestamp: 1680089606, power_value: 89, pv_value: 1197 
timestamp: 1680089611, power_value: 89, pv_value: 1198 
timestamp: 1680089616, power_value: 90, pv_value: 1199 
timestamp: 1680089622, power_value: 87, pv_value: 1197 
timestamp: 1680089627, power_value: 87, pv_value: 1197 
timestamp: 1680089632, power_value: 90, pv_value: 1197 
timestamp: 1680089637, power_value: 87, pv_value: 1197 
timestamp: 1680089642, power_value: 88, pv_value: 1198 
timestamp: 1680089647, power_value: 88, pv_value: 1199 
timestamp: 1680089652, power_value: 90, pv_value: 1197 
timestamp: 1680089658, power_value: 90, pv_value: 1197 
timestamp: 1680089663, power_value: 89, pv_value: 1199 
timestamp: 1680089668, power_value: 89, pv_value: 1197 
timestamp: 1680089673, power_value: 87, pv_value: 1197 
timestamp: 1680089678, power_value: 88, pv_value: 1200 
timestamp: 1680089683, power_value: 87, pv_value: 1200 
timestamp: 1680089688, power_value: 87, pv_value: 1199 
timestamp: 1680089694, power_value: 87, pv_value: 1197 
timestamp: 1680089699, power_value: 87, pv_value: 1198 
timestamp: 1680089704, power_value: 88, pv_value: 1197 
timestamp: 1680089709, power_value: 87, pv_value: 1198 
timestamp: 1680089714, power_value: 89, pv_value: 1197 
timestamp: 1680089719, power_value: 87, pv_value: 1199 
timestamp: 1680089725, power_value: 90, pv_value: 1199 
timestamp: 1680089730, power_value: 90, pv_value: 1199 
timestamp: 1680089735, power_value: 88, pv_value: 1200 
timestamp: 1680089740, power_value: 90, pv_value: 1197 
timestamp: 1680089745, power_value: 89, pv_value: 1200 
timestamp: 1680089750, power_value: 88, pv_value: 1199 
timestamp: 1680089755, power_value: 87, pv_value: 1197 
timestamp: 1680089761, power_value: 90, pv_value: 1200 
timestamp: 1680089766, power_value: 88, pv_value: 1199 
timestamp: 1680089771, power_value: 90, pv_value: 1199 
timestamp: 1680089776, power_value: 88, pv_value: 1198 
timestamp: 1680089781, power_value: 90, pv_value: 1197 
timestamp: 1680089786, power_value: 87, pv_value: 1198 
timestamp: 1680089791, power_value: 89, pv_value: 1199 
timestamp: 1680089796, power_value: 89, pv_value: 1198 
timestamp: 1680089802, power_value: 87, pv_value: 1197 
timestamp: 1680089807, power_value: 89, pv_value: 1197 
timestamp: 1680089812, power_value: 90, pv_value: 1197 
timestamp: 1680089817, power_value: 88, pv_value: 1198 
timestamp: 1680089822, power_value: 90, pv_value: 1198 
timestamp: 1680089827, power_value: 89, pv_value: 1199 
timestamp: 1680089833, power_value: 90, pv_value: 1199 
timestamp: 1680089838, power_value: 90, pv_value: 1200 
timestamp: 1680089843, power_value: 90, pv_value: 1199 
timestamp: 1680089848, power_value: 90, pv_value: 1200 
timestamp: 1680089853, power_value: 89, pv_value: 1199 
timestamp: 1680089858, power_value: 90, pv_value: 1198 
timestamp: 1680089864, power_value: 88, pv_value: 1197 
timestamp: 1680089869, power_value: 90, pv_value: 1199 
timestamp: 1680089874, power_value: 89, pv_value: 1199 
timestamp: 1680089879, power_value: 90, pv_value: 1199 
timestamp: 1680089884, power_value: 89, pv_value: 1198 
timestamp: 1680089889, power_value: 87, pv_value: 1200 
timestamp: 1680089895, power_value: 89, pv_value: 1200 
timestamp: 1680089900, power_value: 90, pv_value: 1199 
timestamp: 1680089905, power_value: 90, pv_value: 1198 
timestamp: 1680089910, power_value: 89, pv_value: 1198 
timestamp: 1680089915, power_value: 89, pv_value: 1200 
timestamp: 1680089920, power_value: 89, pv_value: 1197 
timestamp: 1680089925, power_value: 90, pv_value: 1199 
timestamp: 1680089931, power_value: 88, pv_value: 1199 
timestamp: 1680089936, power_value: 89, pv_value: 1197 
timestamp: 1680089941, power_value: 90, pv_value: 1198 
timestamp: 1680089946, power_value: 87, pv_value: 1198 
timestamp: 1680089951, power_value: 90, pv_value: 1198 
timestamp: 1680089956, power_value: 88, pv_value: 1200 
timestamp: 1680089961, power_value: 90, pv_value: 1199 
timestamp: 1680089967, power_value: 90, pv_value: 1200 
timestamp: 1680089972, power_value: 90, pv_value: 1199 
timestamp: 1680089977, power_value: 90, pv_value: 1197 
timestamp: 1680089982, power_value: 89, pv_value: 1198 
timestamp: 1680089987, power_value: 87, pv_value: 1200 
timestamp: 1680089992, power_value: 87, pv_value: 1199 
timestamp: 1680089997, power_value: 87, pv_value: 1199 
timestamp: 1680090003, power_value: 88, pv_value: 1199 
timestamp: 1680090008, power_value: 90, pv_value: 1200 
timestamp: 1680090013, power_value: 89, pv_value: 1197 
timestamp: 1680090018, power_value: 89, pv_value: 1200 
timestamp: 1680090023, power_value: 89, pv_value: 1197 
timestamp: 1680090028, power_value: 87, pv_value: 1197 
timestamp: 1680090033, power_value: 90, pv_value: 1198 
timestamp: 1680090039, power_value: 90, pv_value: 1198 
timestamp: 1680090044, power_value: 89, pv_value: 1200 
timestamp: 1680090049, power_value: 87, pv_value: 1200 
timestamp: 1680090054, power_value: 89, pv_value: 1198 
timestamp: 1680090059, power_value: 88, pv_value: 1199 
timestamp: 1680090064, power_value: 90, pv_value: 1197 
timestamp: 1680090070, power_value: 89, pv_value: 1197 
timestamp: 1680090075, power_value: 89, pv_value: 1199 
timestamp: 1680090080, power_value: 88, pv_value: 1197 
timestamp: 1680090085, power_value: 89, pv_value: 1200 
timestamp: 1680090090, power_value: 89, pv_value: 1198 
timestamp: 1680090095, power_value: 88, pv_value: 1198 
timestamp: 1680090100, power_value: 88, pv_value: 1198 
timestamp: 1680090105, power_value: 90, pv_value: 1200 
timestamp: 1680090111, power_value: 90, pv_value: 1197 
timestamp: 1680090116, power_value: 90, pv_value: 1197 
timestamp: 1680090121, power_value: 88, pv_value: 1199 
timestamp: 1680090126, power_value: 89, pv_value: 1197 
timestamp: 1680090131, power_value: 89, pv_value: 1199 
timestamp: 1680090136, power_value: 89, pv_value: 1198 
timestamp: 1680090141, power_value: 90, pv_value: 1200 
timestamp: 1680090147, power_value: 88, pv_value: 1198 
timestamp: 1680090152, power_value: 89, pv_value: 1198 
timestamp: 1680090157, power_value: 89, pv_value: 1197 
timestamp: 1680090162, power_value: 89, pv_value: 1200 
timestamp: 1680090167, power_value: 87, pv_value: 1199 
timestamp: 1680090172, power_value: 87, pv_value: 1197 
timestamp: 1680090178, power_value: 87, pv_value: 1199 
timestamp: 1680090183, power_value: 87, pv_value: 1199 
timestamp: 1680090188, power_value: 88, pv_value: 1199 
timestamp: 1680090193, power_value: 90, pv_value: 1198 
timestamp: 1680090198, power_value: 90, pv_value: 1199 
timestamp: 1680090204, power_value: 88, pv_value: 1199 
timestamp: 1680090209, power_value: 88, pv_value: 1199 
timestamp: 1680090214, power_value: 90, pv_value: 1200 
timestamp: 1680090219, power_value: 90, pv_value: 1199 
timestamp: 1680090224, power_value: 89, pv_value: 1199 
timestamp: 1680090229, power_value: 90, pv_value: 1197 
timestamp: 1680090235, power_value: 89, pv_value: 1199 
timestamp: 1680090240, power_value: 90, pv_value: 1198 
timestamp: 1680090245, power_value: 88, pv_value: 1199 
timestamp: 1680090250, power_value: 88, pv_value: 1200 
timestamp: 1680090255, power_value: 88, pv_value: 1199 
timestamp: 1680090260, power_value: 88, pv_value: 1200 
timestamp: 1680090265, power_value: 90, pv_value: 1197 
timestamp: 1680090271, power_value: 88, pv_value: 1197 
timestamp: 1680090276, power_value: 87, pv_value: 1199 
timestamp: 1680090281, power_value: 87, pv_value: 1198 
timestamp: 1680090286, power_value: 88, pv_value: 1199 
timestamp: 1680090291, power_value: 90, pv_value: 1199 
timestamp: 1680090296, power_value: 89, pv_value: 1199 
timestamp: 1680090302, power_value: 90, pv_value: 1197 
timestamp: 1680090307, power_value: 87, pv_value: 1199 
timestamp: 1680090312, power_value: 90, pv_value: 1197 
timestamp: 1680090317, power_value: 89, pv_value: 1198 
timestamp: 1680090322, power_value: 89, pv_value: 1197 
timestamp: 1680090328, power_value: 88, pv_value: 1198 
timestamp: 1680090333, power_value: 90, pv_value: 1199 
timestamp: 1680090338, power_value: 87, pv_value: 1200 
timestamp: 1680090343, power_value: 88, pv_value: 1197 
timestamp: 1680090348, power_value: 89, pv_value: 1198 
timestamp: 1680090353, power_value: 88, pv_value: 1197 
timestamp: 1680090359, power_value: 90, pv_value: 1197 
timestamp: 1680090364, power_value: 87, pv_value: 1200 
timestamp: 1680090369, power_value: 88, pv_value: 1198 
timestamp: 1680090374, power_value: 90, pv_value: 1198 
timestamp: 1680090379, power_value: 90, pv_value: 1198 
timestamp: 1680090385, power_value: 89, pv_value: 1199 
timestamp: 1680090390, power_value: 88, pv_value: 1197 
timestamp: 1680090395, power_value: 89, pv_value: 1198 
timestamp: 1680090400, power_value: 88, pv_value: 1199 
timestamp: 1680090405, power_value: 90, pv_value: 1198 
timestamp: 1680090411, power_value: 88, pv_value: 1197 
timestamp: 1680090416, power_value: 87, pv_value: 1198 
timestamp: 1680090421, power_value: 87, pv_value: 1197 
timestamp: 1680090426, power_value: 89, pv_value: 1199 
timestamp: 1680090431, power_value: 87, pv_value: 1197 
timestamp: 1680090436, power_value: 90, pv_value: 1198 
timestamp: 1680090442, power_value: 88, pv_value: 1197 
timestamp: 1680090447, power_value: 88, pv_value: 1199 
timestamp: 1680090452, power_value: 87, pv_value: 1198 
timestamp: 1680090457, power_value: 88, pv_value: 1200 
timestamp: 1680090462, power_value: 88, pv_value: 1198 
timestamp: 1680090467, power_value: 89, pv_value: 1197 
timestamp: 1680090473, power_value: 90, pv_value: 1198 
timestamp: 1680090478, power_value: 90, pv_value: 1197 
timestamp: 1680090483, power_value: 89, pv_value: 1199 
timestamp: 1680090488, power_value: 87, pv_value: 1197 
timestamp: 1680090494, power_value: 87, pv_value: 1199 
timestamp: 1680090499, power_value: 88, pv_value: 1198 
timestamp: 1680090504, power_value: 89, pv_value: 1198 
timestamp: 1680090509, power_value: 90, pv_value: 1197 
timestamp: 1680090514, power_value: 87, pv_value: 1197 
timestamp: 1680090519, power_value: 88, pv_value: 1197 
timestamp: 1680090524, power_value: 87, pv_value: 1197 
timestamp: 1680090530, power_value: 89, pv_value: 1197 
timestamp: 1680090535, power_value: 89, pv_value: 1199 
timestamp: 1680090540, power_value: 90, pv_value: 1198 
timestamp: 1680090545, power_value: 88, pv_value: 1200 
timestamp: 1680090550, power_value: 90, pv_value: 1197 
timestamp: 1680090556, power_value: 88, pv_value: 1200 
timestamp: 1680090561, power_value: 88, pv_value: 1199 
timestamp: 1680090566, power_value: 90, pv_value: 1200 
timestamp: 1680090571, power_value: 87, pv_value: 1199 
timestamp: 1680090576, power_value: 87, pv_value: 1199 
timestamp: 1680090581, power_value: 89, pv_value: 1197 
timestamp: 1680090587, power_value: 90, pv_value: 1199 
timestamp: 1680090592, power_value: 90, pv_value: 1199 
timestamp: 1680090597, power_value: 90, pv_value: 1200 
timestamp: 1680090602, power_value: 87, pv_value: 1198 
timestamp: 1680090607, power_value: 88, pv_value: 1199 
timestamp: 1680090613, power_value: 90, pv_value: 1200 
timestamp: 1680090618, power_value: 87, pv_value: 1200 
timestamp: 1680090623, power_value: 87, pv_value: 1198 
timestamp: 1680090628, power_value: 89, pv_value: 1199 
timestamp: 1680090633, power_value: 90, pv_value: 1199 
timestamp: 1680090639, power_value: 87, pv_value: 1198 
timestamp: 1680090644, power_value: 88, pv_value: 1200 
timestamp: 1680090649, power_value: 88, pv_value: 1200 
timestamp: 1680090654, power_value: 90, pv_value: 1197 
timestamp: 1680090659, power_value: 90, pv_value: 1200 
timestamp: 1680090664, power_value: 87, pv_value: 1199 
timestamp: 1680090670, power_value: 88, pv_value: 1198 
timestamp: 1680090675, power_value: 87, pv_value: 1197 
timestamp: 1680090680, power_value: 87, pv_value: 1198 
timestamp: 1680090685, power_value: 90, pv_value: 1200 
timestamp: 1680090690, power_value: 89, pv_value: 1200 
timestamp: 1680090695, power_value: 88, pv_value: 1200 
timestamp: 1680090700, power_value: 89, pv_value: 1199 
timestamp: 1680090706, power_value: 89, pv_value: 1197 
timestamp: 1680090711, power_value: 88, pv_value: 1198 
timestamp: 1680090716, power_value: 89, pv_value: 1197 
